地域,所在地都道府県,所在地市区町村,区,種別,公園名,所在地,緯度,経度
九州,福岡県,福岡市,東区,街区,名島南公園,名島四丁目2821，2822,33.64219307,130.43268921
九州,福岡県,福岡市,東区,街区,蒲田公園,蒲田二丁目1185-5,33.6371748,130.4841702
九州,福岡県,福岡市,東区,街区,土井南公園,土井三丁目299-1,33.63295072,130.46385642
九州,福岡県,福岡市,東区,街区,香椎早田公園,香椎駅東四丁目525-42,33.66537443,130.45582558
九州,福岡県,福岡市,東区,街区,上唐原公園,唐原七丁目5-2,33.67316527,130.4453131
九州,福岡県,福岡市,東区,街区,三留池公園,青葉五丁目848地先,33.64331109,130.46705736
九州,福岡県,福岡市,東区,街区,みどりが丘２号公園,みどりが丘二丁目870-155,33.64735109,130.47301163
九州,福岡県,福岡市,東区,街区,みどりが丘東公園,みどりが丘三丁目855-100,33.64451908,130.47481434
九州,福岡県,福岡市,東区,街区,みどりが丘中公園,みどりが丘二丁目883-55,33.64731293,130.47080278
九州,福岡県,福岡市,東区,街区,松崎西公園,松崎三丁目70,33.63690172,130.43623526
九州,福岡県,福岡市,東区,街区,和白新町公園,和白六丁目1068,33.69585007,130.42592375
九州,福岡県,福岡市,東区,街区,社領東公園,社領三丁目13-8，13-10,33.60980245,130.43611653
九州,福岡県,福岡市,東区,街区,志賀島南公園,大字志賀島1735-140,33.66030634,130.30771087
九州,福岡県,福岡市,東区,街区,美和台７号公園,美和台二丁目386,33.69724619,130.42900069
九州,福岡県,福岡市,東区,街区,香椎井ノ本公園,香椎三丁目896-39,33.65845906,130.45508352
九州,福岡県,福岡市,東区,街区,松香団地公園,舞松原四丁目1992-10，1996-1の各一部,33.64795745,130.45204829
九州,福岡県,福岡市,東区,街区,筥松東公園,筥松一丁目5-6，5-11，5-13，5-14,33.6149187,130.43270306
九州,福岡県,福岡市,東区,都市緑地,松崎公園,松崎一丁目2759，2760，2763，2764，2765，2757-1，2757-3,33.63517007,130.43948844
九州,福岡県,福岡市,東区,街区,三苫中公園,三苫三丁目1873-73,33.69725262,130.41680324
九州,福岡県,福岡市,東区,街区,唐原西公園,唐原一丁目550-1，三丁目812-3,33.67614507,130.43840207
九州,福岡県,福岡市,東区,都市緑地,奈多公園,奈多団地1993-10,33.68645789,130.40905121
九州,福岡県,福岡市,東区,街区,唐原北公園,唐原二丁目772-80,33.68042601,130.43380131
九州,福岡県,福岡市,東区,街区,青葉小谷公園,青葉五丁目432-11,33.6458893,130.46371118
九州,福岡県,福岡市,東区,街区,馬出東公園,馬出一丁目198-3，291,33.61056748,130.422198
九州,福岡県,福岡市,東区,街区,松崎南公園,松崎一丁目7,33.6334609,130.44176804
九州,福岡県,福岡市,東区,街区,青葉北公園,青葉五丁目864-153,33.64703784,130.467372
九州,福岡県,福岡市,東区,街区,香住ヶ丘南公園,香住ヶ丘一丁目10-44,33.6684747,130.43893635
九州,福岡県,福岡市,東区,街区,馬出南公園,馬出一丁目65-3,33.60857519,130.42198775
九州,福岡県,福岡市,東区,街区,下原南公園,下原二丁目1483-9,33.66727154,130.45797062
九州,福岡県,福岡市,東区,街区,塩浜公園,塩浜一丁目170-1,33.69249137,130.42308797
九州,福岡県,福岡市,東区,街区,唐原東公園,唐原四丁目701-1,33.67845019,130.44081623
九州,福岡県,福岡市,東区,街区,梅木谷公園,大字香椎39-3,33.65098145,130.47741451
九州,福岡県,福岡市,東区,街区,香椎８号公園,香椎三丁目896-22,33.65931042,130.45452272
九州,福岡県,福岡市,東区,街区,原田西公園,原田二丁目1499-4,33.61916752,130.43114969
九州,福岡県,福岡市,東区,街区,香椎長谷公園,大字香椎462-45，476-3，480-20,33.66547882,130.4621776
九州,福岡県,福岡市,東区,街区,原田南公園,原田一丁目1161-6,33.61501207,130.43531174
九州,福岡県,福岡市,東区,街区,香椎駅東公園,香椎駅東一丁目244-4,33.65836669,130.44464524
九州,福岡県,福岡市,東区,街区,舞松原東公園,舞松原五丁目1974-9,33.64634049,130.45414413
九州,福岡県,福岡市,東区,都市緑地,青葉西公園,青葉二丁目192-151,33.64566281,130.45913258
九州,福岡県,福岡市,東区,街区,名子西公園,名子三丁目789-1,33.64332134,130.47330823
九州,福岡県,福岡市,東区,街区,松田東公園,松田三丁目684-2，685-4,33.61758366,130.44638265
